CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12452,17,2,430.57,0,Potential Loyalists
12453,134,1,707.09,0,Potential Loyalists
12454,56,5,16679.78,3,Loyal Customers
12455,73,10,5879.95,3,Loyal Customers
12456,44,3,3181.04,0,Potential Loyalists
12457,66,8,2995.91,0,Potential Loyalists
12458,71,4,1777.49,0,Potential Loyalists
12459,605,1,454.36,1,At Risk
12460,456,1,326.65,1,At Risk
12461,94,2,826.88,0,Potential Loyalists
12462,19,2,1189.59,0,Potential Loyalists
12463,53,4,1344.78,0,Potential Loyalists
12464,10,8,1212.05,0,Potential Loyalists
12465,17,2,742.1899999999999,0,Potential Loyalists
12466,682,1,56.73,1,At Risk
12467,423,1,132.8,1,At Risk
12468,188,5,3670.74,0,Potential Loyalists
12469,523,2,3070.54,1,At Risk
12470,690,1,211.95,1,At Risk
12471,2,46,29730.420199999626,2,Champions
12472,32,19,17880.59,2,Champions
12473,29,5,3938.5499999999997,0,Potential Loyalists
12474,17,31,12424.45,2,Champions
12475,54,2,1149.64,0,Potential Loyalists
12476,16,23,14115.41,2,Champions
12477,23,9,20276.37,2,Champions
12478,4,1,680.99,0,Potential Loyalists
12479,11,1,527.2,0,Potential Loyalists
12480,28,7,5464.85,3,Loyal Customers
12481,23,15,12361.39,3,Loyal Customers
12482,576,29,23691.4,2,Champions
12483,17,19,5120.58,3,Loyal Customers
12484,33,12,6370.15,3,Loyal Customers
12485,529,1,708.1,1,At Risk
12486,432,1,1037.28,1,At Risk
12487,731,1,285.29999999999995,1,At Risk
12488,10,3,1298.66,0,Potential Loyalists
12489,336,1,334.93,1,At Risk
12490,5,21,9823.64,3,Loyal Customers
12491,39,1,460.40000000000003,0,Potential Loyalists
12492,63,3,715.21,0,Potential Loyalists
12493,166,2,433.74,0,Potential Loyalists
12494,16,9,1872.8700000000001,0,Potential Loyalists
12495,641,1,357.4,1,At Risk
12496,620,2,54.09,1,At Risk
12497,82,3,6248.5,0,Potential Loyalists
12498,21,3,403.70000000000005,0,Potential Loyalists
12499,560,1,393.72,1,At Risk
12500,23,19,5955.21,3,Loyal Customers
12501,337,1,2169.39,1,At Risk
12502,96,5,3723.87,0,Potential Loyalists
12503,584,1,1126.0,1,At Risk
12504,18,4,779.05,0,Potential Loyalists
12505,409,1,955.2,1,At Risk
12506,233,1,73.5,0,Potential Loyalists
12507,134,4,1844.06,0,Potential Loyalists
12508,26,2,398.27,0,Potential Loyalists
12509,284,1,176.5,1,At Risk
12510,143,9,5178.02,3,Loyal Customers
12511,429,1,3084.02,1,At Risk
12512,66,2,138.03,0,Potential Loyalists
12513,113,1,612.29,0,Potential Loyalists
12514,267,2,1597.76,0,Potential Loyalists
12515,353,1,383.7,1,At Risk
12516,78,4,2648.62,0,Potential Loyalists
12517,28,5,2502.84,0,Potential Loyalists
12518,1,5,2056.89,0,Potential Loyalists
12519,64,2,726.54,0,Potential Loyalists
12520,79,5,2634.26,0,Potential Loyalists
12521,143,1,599.68,0,Potential Loyalists
12522,39,2,192.72,0,Potential Loyalists
12523,19,23,4372.15,3,Loyal Customers
12524,9,17,11126.11,3,Loyal Customers
12525,498,3,973.73,1,At Risk
12526,1,3,1316.66,0,Potential Loyalists
12527,82,5,735.51,0,Potential Loyalists
12528,9,6,1933.48,0,Potential Loyalists
12529,528,1,316.48,1,At Risk
12530,60,9,3759.26,3,Loyal Customers
12531,15,2,1933.2,0,Potential Loyalists
12532,30,1,349.83000000000004,0,Potential Loyalists
12533,628,2,1367.89,1,At Risk
12534,131,1,1089.18,0,Potential Loyalists
12535,92,2,716.35,0,Potential Loyalists
12536,43,3,12601.830000000002,3,Loyal Customers
12537,409,1,732.94,1,At Risk
12538,29,2,640.45,0,Potential Loyalists
12539,22,7,11214.75,3,Loyal Customers
12540,20,33,22254.49,2,Champions
12541,30,3,981.18,0,Potential Loyalists
12542,484,2,481.88,1,At Risk
12543,448,1,980.25,1,At Risk
12544,36,1,372.7,0,Potential Loyalists
12545,75,2,1000.39,0,Potential Loyalists
12546,47,2,1161.5,0,Potential Loyalists
12547,198,3,383.58,0,Potential Loyalists
12548,166,1,95.19999999999999,0,Potential Loyalists
12549,576,6,1575.68,1,At Risk
12550,79,1,964.83,0,Potential Loyalists
12551,358,1,168.0,1,At Risk
12552,39,2,437.82,0,Potential Loyalists
12553,8,12,4608.75,3,Loyal Customers
12554,449,1,468.5,1,At Risk
12555,682,1,129.23,1,At Risk
12556,50,2,603.71,0,Potential Loyalists
12557,16,8,18716.14,3,Loyal Customers
12558,8,1,269.96,0,Potential Loyalists
12559,311,2,561.71,1,At Risk
12560,5,3,2134.01,0,Potential Loyalists
12561,303,1,238.85,1,At Risk
12562,8,9,4966.92,3,Loyal Customers
12563,409,1,249.24,1,At Risk
12564,261,1,456.9,0,Potential Loyalists
12565,289,1,145.92,1,At Risk
12566,86,1,351.65,0,Potential Loyalists
12567,23,15,13709.86,3,Loyal Customers
12568,645,1,70.0,1,At Risk
12569,2,32,4124.69,3,Loyal Customers
12570,682,1,77.52,1,At Risk
12571,40,2,519.61,0,Potential Loyalists
12572,9,2,1020.42,0,Potential Loyalists
12573,227,5,717.41,0,Potential Loyalists
12574,316,1,218.45,1,At Risk
12575,457,2,622.8199999999999,1,At Risk
12576,36,8,2142.72,0,Potential Loyalists
12577,35,8,1653.75,0,Potential Loyalists
12578,21,4,4642.45,0,Potential Loyalists
12579,78,1,440.42,0,Potential Loyalists
12580,247,2,1052.9,0,Potential Loyalists
12581,40,1,197.71,0,Potential Loyalists
12582,239,4,1980.4,0,Potential Loyalists
12583,3,27,14447.44,2,Champions
12584,4,9,2338.15,0,Potential Loyalists
12585,234,2,2040.1,0,Potential Loyalists
12586,17,4,2062.67,0,Potential Loyalists
12587,8,1,144.0,0,Potential Loyalists
12588,39,4,958.78,0,Potential Loyalists
12589,29,8,4695.66,3,Loyal Customers
12590,211,2,9864.26,3,Loyal Customers
12591,317,3,1352.15,1,At Risk
12592,92,5,2582.66,0,Potential Loyalists
12593,109,3,418.09999999999997,0,Potential Loyalists
12594,38,15,5090.110000000001,3,Loyal Customers
12595,505,1,299.02,1,At Risk
12596,51,2,618.27,0,Potential Loyalists
12597,19,4,3811.22,0,Potential Loyalists
12598,10,11,4534.09,3,Loyal Customers
12599,29,13,2296.72,3,Loyal Customers
12600,29,21,5043.92,3,Loyal Customers
12601,190,6,681.26,0,Potential Loyalists
12602,59,1,153.12,0,Potential Loyalists
12603,22,1,739.1999999999999,0,Potential Loyalists
12604,79,2,254.18,0,Potential Loyalists
12605,376,4,1232.95,1,At Risk
12606,682,1,21.0,1,At Risk
12607,60,1,1579.51,0,Potential Loyalists
12608,405,1,415.79,1,At Risk
12609,78,9,3435.86,0,Potential Loyalists
12610,23,5,2099.54,0,Potential Loyalists
12611,52,1,1193.32,0,Potential Loyalists
12612,74,1,704.0400000000001,0,Potential Loyalists
12613,57,10,6835.07,3,Loyal Customers
12614,278,1,315.6,1,At Risk
12615,2,8,5740.98,3,Loyal Customers
12616,95,3,1131.1,0,Potential Loyalists
12617,29,1,355.53,0,Potential Loyalists
12618,22,1,177.31,0,Potential Loyalists
12619,16,10,3781.38,3,Loyal Customers
12620,15,3,1339.41,0,Potential Loyalists
12621,2,35,24775.81,2,Champions
12622,232,1,180.1,0,Potential Loyalists
12623,276,7,3747.84,0,Potential Loyalists
12624,106,2,641.13,0,Potential Loyalists
12625,212,4,5164.88,0,Potential Loyalists
12626,23,9,6620.48,3,Loyal Customers
12627,11,7,4478.53,0,Potential Loyalists
12628,4,3,786.46,0,Potential Loyalists
12629,386,2,1558.22,1,At Risk
12630,10,2,1270.88,0,Potential Loyalists
12631,57,6,3481.57,0,Potential Loyalists
12632,521,2,804.88,1,At Risk
12633,59,7,5678.16,3,Loyal Customers
12634,536,2,490.0,1,At Risk
12635,90,4,2930.41,0,Potential Loyalists
12636,739,1,141.0,1,At Risk
12637,67,12,8340.31,3,Loyal Customers
12638,33,2,921.49,0,Potential Loyalists
12639,239,3,1312.37,0,Potential Loyalists
12640,24,3,1174.58,0,Potential Loyalists
12641,115,1,185.9,0,Potential Loyalists
12642,25,3,1013.26,0,Potential Loyalists
12643,128,12,8350.42,3,Loyal Customers
12644,130,4,1918.49,0,Potential Loyalists
12645,34,8,3539.3,0,Potential Loyalists
12646,5,2,1346.97,0,Potential Loyalists
12647,22,36,17924.35,2,Champions
12648,155,4,1112.0,0,Potential Loyalists
12649,107,8,2294.65,0,Potential Loyalists
12650,3,1,314.44,0,Potential Loyalists
12651,335,4,377.75,1,At Risk
12652,331,2,1017.03,1,At Risk
12653,149,3,4160.83,0,Potential Loyalists
12654,11,5,601.98,0,Potential Loyalists
12655,424,1,261.35,1,At Risk
12656,17,8,6407.83,3,Loyal Customers
12657,11,4,1643.18,0,Potential Loyalists
12658,19,1,686.05,0,Potential Loyalists
12659,30,1,91.68,0,Potential Loyalists
12660,11,1,245.1,0,Potential Loyalists
12661,436,1,162.0,1,At Risk
12662,1,20,6988.02,3,Loyal Customers
12663,625,2,239.4,1,At Risk
12664,8,11,6070.04,3,Loyal Customers
12665,325,3,313.6,1,At Risk
12666,394,1,1248.42,1,At Risk
12667,58,1,620.13,0,Potential Loyalists
12668,12,10,11444.68,3,Loyal Customers
12669,151,3,2744.0299999999997,0,Potential Loyalists
12670,10,7,3760.29,0,Potential Loyalists
12671,606,1,2622.481,1,At Risk
12672,330,2,437.05,1,At Risk
12673,5,3,1230.02,0,Potential Loyalists
12674,39,4,1970.6,0,Potential Loyalists
12675,554,2,958.5,1,At Risk
12676,25,11,2843.09,3,Loyal Customers
12677,555,2,395.1,1,At Risk
12678,42,21,29730.420199999626,2,Champions
12679,59,4,1113.02,0,Potential Loyalists
12680,1,4,880.81,0,Potential Loyalists
12681,15,45,29730.420199999626,2,Champions
12682,4,46,24033.91,2,Champions
12683,4,21,12696.78,3,Loyal Customers
12684,8,7,2283.63,0,Potential Loyalists
12685,28,6,2863.08,0,Potential Loyalists
12686,372,1,178.28,1,At Risk
12687,481,2,2138.91,1,At Risk
12688,114,1,4873.8099999999995,0,Potential Loyalists
12689,26,2,1247.61,0,Potential Loyalists
12690,206,1,389.01,0,Potential Loyalists
12691,28,7,1170.4,0,Potential Loyalists
12692,637,1,110.95,1,At Risk
12693,127,7,1703.02,0,Potential Loyalists
12694,70,3,1843.35,0,Potential Loyalists
12695,7,7,1407.1200000000001,0,Potential Loyalists
12696,435,2,851.91,1,At Risk
12697,29,3,957.59,0,Potential Loyalists
12698,590,1,339.75,1,At Risk
12699,418,1,638.11,1,At Risk
12700,8,4,4939.99,0,Potential Loyalists
12701,80,6,2446.41,0,Potential Loyalists
12702,20,1,219.0,0,Potential Loyalists
12703,71,4,1006.53,0,Potential Loyalists
12704,7,8,2340.84,0,Potential Loyalists
12705,15,14,11762.1,3,Loyal Customers
12707,292,1,603.42,1,At Risk
12708,30,18,5314.1,3,Loyal Customers
12709,15,34,29730.420199999626,2,Champions
12710,97,3,1149.02,0,Potential Loyalists
12711,612,2,1339.05,1,At Risk
12712,29,21,7193.66,3,Loyal Customers
12713,1,1,848.55,0,Potential Loyalists
12714,9,12,14093.71,3,Loyal Customers
12715,106,1,353.86,0,Potential Loyalists
12716,4,2,1053.49,0,Potential Loyalists
12717,151,3,1308.91,0,Potential Loyalists
12718,71,1,238.25,0,Potential Loyalists
12719,5,2,644.95,0,Potential Loyalists
12720,3,30,8260.67,3,Loyal Customers
12721,32,8,4013.08,0,Potential Loyalists
12722,85,4,997.63,0,Potential Loyalists
12723,4,5,725.07,0,Potential Loyalists
12724,5,7,2317.52,0,Potential Loyalists
12725,371,4,2694.56,1,At Risk
12726,28,11,4014.6,3,Loyal Customers
12727,11,10,5679.53,3,Loyal Customers
12728,71,5,1070.17,0,Potential Loyalists
12729,114,1,453.01,0,Potential Loyalists
12730,522,1,829.25,1,At Risk
12731,24,17,25775.71,2,Champions
12732,180,1,236.26000000000002,0,Potential Loyalists
12733,234,4,2424.87,0,Potential Loyalists
12734,353,3,639.65,1,At Risk
12735,315,2,779.5699999999999,1,At Risk
12736,333,1,234.0,1,At Risk
12737,499,2,3710.5,1,At Risk
12738,372,1,310.7,1,At Risk
12739,78,4,2726.73,0,Potential Loyalists
12740,64,1,427.6,0,Potential Loyalists
12741,529,2,406.07,1,At Risk
12742,626,1,1201.52,1,At Risk
12743,134,2,546.43,0,Potential Loyalists
12744,52,11,25317.06,2,Champions
12745,487,3,925.41,1,At Risk
12746,541,1,254.55,1,At Risk
12747,2,26,9276.539999999999,3,Loyal Customers
12748,1,46,29730.420199999626,2,Champions
12749,4,9,6897.36,3,Loyal Customers
12750,129,1,275.88,0,Potential Loyalists
12751,445,1,268.27,1,At Risk
12752,81,1,4366.78,0,Potential Loyalists
12753,23,6,21429.39,2,Champions
12754,236,3,3010.74,0,Potential Loyalists
12755,281,11,9030.66,3,Loyal Customers
12756,87,1,112.07999999999998,0,Potential Loyalists
12757,16,13,7857.1,3,Loyal Customers
12758,117,7,9903.24,3,Loyal Customers
12759,52,8,5020.74,3,Loyal Customers
12760,456,1,347.8,1,At Risk
12761,458,2,782.95,1,At Risk
12762,8,2,1898.52,0,Potential Loyalists
12763,138,2,814.16,0,Potential Loyalists
12764,317,1,1693.88,1,At Risk
12765,472,6,1404.58,1,At Risk
12766,4,9,10068.28,3,Loyal Customers
12767,376,1,949.82,1,At Risk
12768,451,1,168.69000000000003,1,At Risk
12769,239,1,1143.6,0,Potential Loyalists
12770,211,2,3246.45,0,Potential Loyalists
12771,486,1,282.3,1,At Risk
12772,60,1,892.47,0,Potential Loyalists
12773,564,1,124.25,1,At Risk
12774,536,1,98.7,1,At Risk
12775,17,7,1686.12,0,Potential Loyalists
12776,668,1,55.5,1,At Risk
12777,458,1,519.45,1,At Risk
12778,20,9,1775.68,0,Potential Loyalists
12779,38,14,6722.2699999999995,3,Loyal Customers
12780,599,1,337.4,1,At Risk
12781,64,2,826.74,0,Potential Loyalists
12782,5,11,4618.24,3,Loyal Customers
12783,2,6,2225.91,0,Potential Loyalists
12784,9,3,1804.75,0,Potential Loyalists
12785,364,3,1100.4,1,At Risk
12786,610,1,728.5,1,At Risk
12787,10,4,862.18,0,Potential Loyalists
12788,463,4,444.9,1,At Risk
12789,65,3,273.35,0,Potential Loyalists
12790,192,2,591.85,0,Potential Loyalists
12791,374,6,1056.1100000000001,1,At Risk
12792,257,2,827.01,0,Potential Loyalists
12793,335,3,1017.33,1,At Risk
12794,53,2,860.41,0,Potential Loyalists
12795,19,1,430.48,0,Potential Loyalists
12796,628,1,381.0,1,At Risk
12797,366,2,806.11,1,At Risk
12798,10,4,8510.93,3,Loyal Customers
12799,529,1,219.35,1,At Risk
12800,470,3,584.25,1,At Risk
12801,501,1,1071.82,1,At Risk
12802,187,7,2416.42,0,Potential Loyalists
12803,393,1,1092.81,1,At Risk
12804,466,2,327.02,1,At Risk
12805,382,4,1434.95,1,At Risk
12806,435,4,2878.96,1,At Risk
12807,383,1,330.35,1,At Risk
12808,37,5,906.1,0,Potential Loyalists
12809,178,3,1755.94,0,Potential Loyalists
12810,535,2,534.99,1,At Risk
12811,261,5,1033.9,0,Potential Loyalists
12812,45,1,229.64000000000001,0,Potential Loyalists
12813,502,3,1687.8,1,At Risk
12814,102,1,125.92,0,Potential Loyalists
12815,148,2,1063.46,0,Potential Loyalists
12816,96,2,572.2,0,Potential Loyalists
12817,281,3,690.98,1,At Risk
12818,262,1,1542.08,0,Potential Loyalists
12819,458,1,540.52,1,At Risk
12820,3,11,2689.52,3,Loyal Customers
12821,214,2,220.8,0,Potential Loyalists
12822,71,2,948.88,0,Potential Loyalists
12823,75,18,6501.5,3,Loyal Customers
12824,60,1,397.12,0,Potential Loyalists
12825,521,2,518.63,1,At Risk
12826,3,12,2955.75,3,Loyal Customers
12827,6,3,430.15000000000003,0,Potential Loyalists
12828,3,6,1018.71,0,Potential Loyalists
12829,337,3,385.3,1,At Risk
12830,38,6,6814.64,3,Loyal Customers
12831,262,3,451.11,0,Potential Loyalists
12832,32,2,383.03,0,Potential Loyalists
12833,145,1,417.38,0,Potential Loyalists
12834,283,1,312.38,1,At Risk
12835,428,41,6043.31,3,Loyal Customers
12836,59,15,6585.62,3,Loyal Customers
12837,173,2,688.41,0,Potential Loyalists
12838,34,10,3398.48,3,Loyal Customers
12839,3,26,10071.73,3,Loyal Customers
12840,144,7,4041.97,0,Potential Loyalists
12841,5,40,7540.68,2,Champions
12842,70,4,1917.99,0,Potential Loyalists
12843,66,30,6588.41,3,Loyal Customers
12844,29,4,648.6,0,Potential Loyalists
12845,267,4,354.09,0,Potential Loyalists
12846,682,1,15.58,1,At Risk
12847,22,2,1636.8999999999999,0,Potential Loyalists
12848,676,1,208.0,1,At Risk
12849,31,6,3090.56,0,Potential Loyalists
12850,446,1,330.0,1,At Risk
12851,97,2,284.13,0,Potential Loyalists
12852,295,1,311.55,1,At Risk
12853,135,11,3907.5,3,Loyal Customers
12854,79,7,2994.02,0,Potential Loyalists
12855,373,4,650.9399999999999,1,At Risk
12856,8,6,2179.93,0,Potential Loyalists
12857,211,6,3688.0,0,Potential Loyalists
12858,383,1,177.92,1,At Risk
12859,459,1,575.1,1,At Risk
12860,693,1,55.47,1,At Risk
12861,620,1,68.25,1,At Risk
12862,426,2,1008.3199999999999,1,At Risk
12863,52,6,2792.5499999999997,0,Potential Loyalists
12864,138,2,299.57,0,Potential Loyalists
12865,26,4,3323.47,0,Potential Loyalists
12866,283,3,1227.35,1,At Risk
12867,26,13,7913.29,3,Loyal Customers
12868,186,8,2247.06,0,Potential Loyalists
12869,682,1,337.66999999999996,1,At Risk
12870,375,3,1676.95,1,At Risk
12871,84,3,744.02,0,Potential Loyalists
12872,327,12,3685.4900000000002,3,Loyal Customers
12873,282,3,2027.3,0,Potential Loyalists
12874,385,2,948.42,1,At Risk
12875,143,5,1356.99,0,Potential Loyalists
12876,58,4,4081.79,0,Potential Loyalists
12877,4,20,2955.17,3,Loyal Customers
12878,236,2,854.99,0,Potential Loyalists
12879,45,3,573.22,0,Potential Loyalists
12880,382,2,640.13,1,At Risk
12881,276,1,298.0,1,At Risk
12882,9,2,1463.04,0,Potential Loyalists
12883,25,4,703.47,0,Potential Loyalists
12884,88,1,309.05,0,Potential Loyalists
12885,63,3,1175.22,0,Potential Loyalists
12886,68,2,1378.4,0,Potential Loyalists
12887,384,1,222.4,1,At Risk
12888,214,2,354.12,0,Potential Loyalists
12889,381,4,385.46000000000004,1,At Risk
12890,24,2,717.27,0,Potential Loyalists
12891,186,11,840.5,0,Potential Loyalists
12892,397,1,263.38,1,At Risk
12893,31,1,188.14,0,Potential Loyalists
12894,575,1,157.35,1,At Risk
12895,42,2,372.8,0,Potential Loyalists
12897,205,4,514.25,0,Potential Loyalists
12898,464,2,310.96000000000004,1,At Risk
12899,414,1,366.4,1,At Risk
12900,422,1,340.33,1,At Risk
12901,9,28,17654.54,2,Champions
12902,265,1,138.68,0,Potential Loyalists
12903,429,1,833.53,1,At Risk
12904,18,2,509.58,0,Potential Loyalists
12905,577,2,1018.42,1,At Risk
12906,12,5,2919.81,0,Potential Loyalists
12907,396,2,508.91,1,At Risk
12908,176,5,1776.0,0,Potential Loyalists
12909,40,8,3103.19,0,Potential Loyalists
12910,23,13,5796.52,3,Loyal Customers
12911,552,1,1680.47,1,At Risk
12912,3,5,1662.3,0,Potential Loyalists
12913,5,13,6700.860000000001,3,Loyal Customers
12914,401,1,223.98,1,At Risk
12915,149,4,1174.75,0,Potential Loyalists
12916,139,7,4654.0199999999995,0,Potential Loyalists
12917,128,6,4359.2,0,Potential Loyalists
12918,626,1,10953.5,1,At Risk
12919,8,6,1335.19,0,Potential Loyalists
12920,17,4,488.09000000000003,0,Potential Loyalists
12921,9,46,29730.420199999626,2,Champions
12922,161,1,405.38,0,Potential Loyalists
12923,64,3,789.87,0,Potential Loyalists
12924,88,12,2469.4,3,Loyal Customers
12925,5,3,729.3299999999999,0,Potential Loyalists
12926,411,4,1548.46,1,At Risk
12927,395,1,197.31,1,At Risk
12928,35,12,4304.89,3,Loyal Customers
12929,312,1,117.85,1,At Risk
12930,78,2,415.8,0,Potential Loyalists
12931,22,46,29730.420199999626,2,Champions
12932,539,8,1698.56,1,At Risk
12933,24,8,1687.03,0,Potential Loyalists
12934,737,1,181.65,1,At Risk
12935,2,15,4243.86,3,Loyal Customers
12936,17,4,1063.9,0,Potential Loyalists
12937,15,9,3097.61,0,Potential Loyalists
12938,26,1,114.14,0,Potential Loyalists
12939,64,20,25264.8,2,Champions
12940,55,2,913.54,0,Potential Loyalists
12941,724,1,377.49,1,At Risk
12942,131,3,942.65,0,Potential Loyalists
12943,558,2,496.5,1,At Risk
12944,36,2,604.51,0,Potential Loyalists
12945,288,2,900.11,1,At Risk
12946,437,1,324.45,1,At Risk
12947,144,6,1908.03,0,Potential Loyalists
12948,16,9,2317.43,0,Potential Loyalists
12949,31,22,15526.7,2,Champions
12950,2,3,1843.0,0,Potential Loyalists
12951,9,15,3213.7200000000003,3,Loyal Customers
12952,6,4,1387.79,0,Potential Loyalists
12953,10,2,828.8100000000001,0,Potential Loyalists
12954,639,1,162.45,1,At Risk
12955,1,11,4757.16,3,Loyal Customers
12956,306,4,521.89,1,At Risk
12957,10,13,8706.97,3,Loyal Customers
12958,400,2,539.49,1,At Risk
12959,484,1,150.95,1,At Risk
12960,414,4,1322.07,1,At Risk
12961,379,1,211.99,1,At Risk
12962,7,2,266.39,0,Potential Loyalists
12963,8,12,3601.59,3,Loyal Customers
12964,437,1,132.24,1,At Risk
12965,89,1,771.91,0,Potential Loyalists
12966,10,1,160.18,0,Potential Loyalists
12967,358,3,4306.92,1,At Risk
12968,112,1,135.95,0,Potential Loyalists
12969,603,1,122.45,1,At Risk
12970,7,10,1524.97,0,Potential Loyalists
12971,4,46,15972.79,2,Champions
12972,414,4,1161.2,1,At Risk
12973,414,1,385.55,1,At Risk
12974,198,2,408.95,0,Potential Loyalists
12975,437,6,2100.09,1,At Risk
12976,212,8,3156.38,0,Potential Loyalists
12977,156,4,517.63,0,Potential Loyalists
12978,385,5,2502.82,1,At Risk
12979,729,1,517.7,1,At Risk
12980,158,21,16245.78,2,Champions
12981,30,2,372.21999999999997,0,Potential Loyalists
12982,243,8,2744.81,0,Potential Loyalists
12983,598,1,490.08000000000004,1,At Risk
12984,19,1,97.5,0,Potential Loyalists
12985,1,2,1239.38,0,Potential Loyalists
12986,429,10,2729.84,1,At Risk
12987,74,5,1312.21,0,Potential Loyalists
12988,292,1,535.32,1,At Risk
12989,3,33,13551.75,2,Champions
12990,31,7,955.5,0,Potential Loyalists
12991,23,3,764.82,0,Potential Loyalists
12992,725,1,93.35000000000001,1,At Risk
12993,23,8,1259.6299999999999,0,Potential Loyalists
12994,4,3,974.4200000000001,0,Potential Loyalists
12995,85,1,211.32,0,Potential Loyalists
12996,376,1,355.5,1,At Risk
12997,22,8,2110.91,0,Potential Loyalists
12998,493,3,920.08,1,At Risk
12999,196,3,455.88,0,Potential Loyalists
13000,107,4,1032.5,0,Potential Loyalists
13001,4,33,24172.100000000002,2,Champions
13002,318,3,414.13,1,At Risk
